Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2013,201312,December 2013,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,1,,17,,,0
HS,2013,201301,January 2013,6,1,1,Imports,276,Germany,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,146,,,0
HS,2013,201302,February 2013,6,1,1,Imports,276,Germany,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,80,,,0
HS,2013,201310,October 2013,6,1,1,Imports,440,Lithuania,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,25511,,142242,,,0
HS,2013,201301,January 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,20000,,89632,,,0
HS,2013,201302,February 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,80300,,344190,,,0
HS,2013,201303,March 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,18920,,80814,,,0
HS,2013,201305,May 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,2800,,13557,,,0
HS,2013,201309,September 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,5000,,28768,,,0
HS,2013,201310,October 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,40000,,274875,,,0
HS,2013,201311,November 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,60000,,399016,,,0
HS,2013,201312,December 2013,6,1,1,Imports,643,Russian Federation,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,3176,,21259,,,0
HS,2013,201301,January 2013,6,1,1,Imports,804,Ukraine,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,7040,,44497,,,0
