Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201008,August 2010,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,200,,1170,,,0
HS,2010,201001,January 2010,6,1,1,Imports,97,EU-27,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,71,,,0
HS,2010,201002,February 2010,6,1,1,Imports,97,EU-27,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,100,,506,,,0
HS,2010,201007,July 2010,6,1,1,Imports,97,EU-27,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,38400,,201551,,,0
HS,2010,201007,July 2010,6,1,1,Imports,246,Finland,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,38400,,201551,,,0
HS,2010,201009,September 2010,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,10000,,55926,,,0
HS,2010,201001,January 2010,6,1,1,Imports,276,Germany,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,71,,,0
HS,2010,201002,February 2010,6,1,1,Imports,276,Germany,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,100,,506,,,0
HS,2010,201004,April 2010,6,1,1,Imports,842,United States of America,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,3304,,,0
HS,2010,201011,November 2010,6,1,1,Imports,842,United States of America,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,4467,,,0
