Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201110,October 2011,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,4190,,23740,,,0
HS,2011,201111,November 2011,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,240,,1440,,,0
HS,2011,201112,December 2011,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,3942,,23652,,,0
HS,2011,201103,March 2011,6,1,1,Imports,97,EU-27,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,200,,644,,,0
HS,2011,201107,July 2011,6,1,1,Imports,97,EU-27,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,20000,,62762,,,0
HS,2011,201101,January 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,4540,,19000,,,0
HS,2011,201102,February 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,2220,,4500,,,0
HS,2011,201103,March 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,8140,,17300,,,0
HS,2011,201104,April 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,29062,,152500,,,0
HS,2011,201106,June 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,20740,,111300,,,0
HS,2011,201108,August 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,20296,,96600,,,0
HS,2011,201109,September 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,740,,1500,,,0
HS,2011,201110,October 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,40740,,221100,,,0
HS,2011,201111,November 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,21850,,96900,,,0
HS,2011,201112,December 2011,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,1581,,3600,,,0
HS,2011,201107,July 2011,6,1,1,Imports,233,Estonia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,20000,,62762,,,0
HS,2011,201110,October 2011,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,5400,,24189,,,0
HS,2011,201103,March 2011,6,1,1,Imports,276,Germany,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,200,,644,,,0
HS,2011,201101,January 2011,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,3496,,17824,,,0
HS,2011,201102,February 2011,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,19600,,31647,,,0
HS,2011,201109,September 2011,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,19600,,35007,,,0
HS,2011,201111,November 2011,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,11500,,19456,,,0
HS,2011,201101,January 2011,6,1,1,Imports,842,United States of America,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,3161,,,0
HS,2011,201103,March 2011,6,1,1,Imports,842,United States of America,,643,Russian Federation,,,,,,,,,040510,Butter,0,,,,,,,,3139,,,0
