Region;GRP.billions.rub;Population.people;Urban.Population.000people;Unemployment.rate
Brest;75711,9;1388900;963,5;0,6
Vitsyebsk;63429,2;1198500;915,4;0,7
Homyel';87602,5;1424000;1087,1;0,7
Hrodna;66916,8;1052600;774,6;0,6
Minsk;117804,5;1407900;799,8;0,5
Mahilyow;56356,1;1070800;846,4;0,7
