"code","description","comment"
"РАЗДЕЛ A","ПРОДУКЦИЯ СЕЛЬСКОГО, ЛЕСНОГО И РЫБНОГО ХОЗЯЙСТВА",NA
"01","Продукция и услуги сельского хозяйства и охоты",NA
"01.1","Культуры однолетние",NA
"01.11","Культуры зерновые (кроме риса), зернобобовые, семена масличных культур","Эта группировка включает:- культуры зерновые, зернобобовые, а также семена и плоды масличных культур, выращиваемые в целях производства пищевых продуктов и иных целях"
"01.11.1","Пшеница",NA
"01.11.11","Пшеница твердая",NA
"01.11.11.110","Пшеница озимая твердая",NA
"01.11.11.111","Зерно озимой твердой пшеницы",NA
"01.11.11.112","Семена озимой твердой пшеницы",NA
"01.11.11.120","Пшеница яровая твердая",NA
"01.11.11.121","Зерно яровой твердой пшеницы",NA
"01.11.11.122","Семена яровой твердой пшеницы",NA
"01.11.11.130","Зерноотходы твердой пшеницы",NA
"01.11.12","Пшеница, кроме твердой пшеницы",NA
"01.11.12.110","Пшеница озимая мягкая",NA
"01.11.12.111","Зерно озимой мягкой пшеницы",NA
"01.11.12.112","Семена озимой мягкой пшеницы",NA
"01.11.12.120","Пшеница яровая мягкая",NA
"01.11.12.121","Зерно яровой мягкой пшеницы",NA
"01.11.12.122","Семена яровой мягкой пшеницы",NA
"01.11.12.130","Зерноотходы мягкой пшеницы",NA
"01.11.12.140","Меслин (смесь пшеницы и ржи)",NA
"01.11.12.141","Зерно меслина",NA
"01.11.12.142","Семена меслина",NA
"01.11.12.143","Зерноотходы меслина",NA
"01.11.2","Кукуруза",NA
"01.11.20","Кукуруза","Эта группировка не включает:- кукурузу кормовую, см. 01.19.10"
"01.11.20.110","Кукуруза лопающаяся (рисовая)",NA
"01.11.20.111","Зерно лопающейся (рисовой) кукурузы",NA
"01.11.20.112","Семена лопающейся (рисовой) кукурузы",NA
"01.11.20.113","Початки лопающейся (рисовой) кукурузы",NA
"01.11.20.114","Початки обрушенные лопающейся (рисовой) кукурузы",NA
"01.11.20.120","Кукуруза кремнистая",NA
"01.11.20.121","Зерно кремнистой кукурузы",NA
"01.11.20.122","Семена кремнистой кукурузы",NA
"01.11.20.123","Початки кремнистой кукурузы",NA
"01.11.20.124","Початки обрушенные кремнистой кукурузы",NA
"01.11.20.130","Кукуруза зубовидная и кукуруза прочих сортов, кроме сахарной",NA
"01.11.20.131","Зерно зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.132","Семена зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.133","Початки зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.134","Початки обрушенные зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.140","Кукуруза разнотипная (смесь)",NA
"01.11.20.141","Зерно разнотипной кукурузы",NA
"01.11.20.142","Семена разнотипной кукурузы",NA
"01.11.20.143","Початки разнотипной кукурузы",NA
"01.11.20.150","Зерноотходы кукурузы",NA
"01.11.3","Ячмень, рожь и овес",NA
"01.11.31","Ячмень",NA
"01.11.31.110","Ячмень озимый",NA
"01.11.31.111","Зерно озимого ячменя",NA
"01.11.31.112","Семена озимого ячменя",NA
"01.11.31.120","Ячмень яровой",NA
"01.11.31.121","Зерно ярового ячменя",NA
"01.11.31.122","Семена ярового ячменя",NA
"01.11.31.130","Зерноотходы ячменя",NA
"01.11.32","Рожь",NA
"01.11.32.110","Рожь озимая",NA
"01.11.32.111","Зерно озимой ржи",NA
"01.11.32.112","Семена озимой ржи",NA
"01.11.32.120","Рожь яровая",NA
"01.11.32.121","Зерно яровой ржи",NA
"01.11.32.122","Семена яровой ржи",NA
"01.11.32.130","Зерноотходы ржи",NA
"01.11.33","Овес",NA
"01.11.33.110","Зерно овса",NA
"01.11.33.111","Семена овса",NA
"01.11.33.112","Зерноотходы овса",NA
"01.11.4","Сорго, просо и прочие зерновые культуры",NA
"01.11.41","Сорго",NA
"01.11.41.110","Зерно сорго",NA
"01.11.41.120","Семена сорго",NA
"01.11.41.130","Зерноотходы сорго",NA
"01.11.42","Просо",NA
"01.11.42.110","Зерно проса",NA
"01.11.42.120","Семена проса",NA
"01.11.42.130","Зерноотходы проса",NA
"01.11.49","Культуры зерновые прочие",NA
"01.11.49.110","Гречиха",NA
"01.11.49.111","Зерно гречихи",NA
"01.11.49.112","Семена гречихи",NA
"01.11.49.113","Зерноотходы гречихи",NA
"01.11.49.120","Тритикале (пшенично-ржаной гибрид)",NA
"01.11.49.121","Зерно ярового тритикале",NA
"01.11.49.122","Семена ярового тритикале",NA
"01.11.49.123","Зерно озимого тритикале",NA
"01.11.49.124","Семена озимого тритикале",NA
"01.11.49.125","Зерноотходы тритикале",NA
"01.11.49.130","Чумиза",NA
"01.11.49.131","Зерно чумизы",NA
"01.11.49.132","Семена чумизы",NA
"01.11.49.133","Зерноотходы чумизы",NA
"01.11.49.140","Вика и смеси виковые на зерно",NA
"01.11.49.150","Люпин кормовой сладкий на зерно",NA
"01.11.49.190","Культуры зерновые прочие, не включенные в другие группировки",NA
"01.11.49.191","Зерно зерновых культур, не включенных в другие группировки",NA
"01.11.49.192","Семена зерновых культур, не включенных в другие группировки",NA
"01.11.49.193","Зерноотходы зерновых культур, не включенных в другие группировки",NA
"01.11.5","Солома и мякина зерновых культур",NA
"01.11.50","Солома и мякина зерновых культур",NA
"01.11.50.000","Солома и мякина зерновых культур",NA
"01.11.6","Овощи бобовые зеленые",NA
"01.11.61","Фасоль овощная",NA
"01.11.61.000","Фасоль овощная",NA
"01.11.62","Горох овощной",NA
"01.11.62.000","Горох овощной",NA
"01.11.69","Овощи бобовые зеленые прочие",NA
"01.11.69.000","Овощи бобовые зеленые прочие",NA
"01.11.7","Овощи бобовые сушеные (культуры зернобобовые)",NA
"01.11.71","Фасоль сушеная",NA
"01.11.71.110","Зерно фасоли",NA
"01.11.71.120","Семена фасоли",NA
"01.11.72","Бобы кормовые сушеные",NA
"01.11.72.110","Зерно кормовых бобов",NA
"01.11.72.120","Семена кормовых бобов",NA
"01.11.73","Нут (бараний горох) сушеный",NA
"01.11.73.110","Зерно нута",NA
"01.11.73.120","Семена нута",NA
"01.11.74","Чечевица сушеная",NA
"01.11.74.110","Зерно чечевицы",NA
"01.11.74.120","Семена чечевицы",NA
"01.11.75","Горох сушеный",NA
"01.11.75.110","Зерно гороха",NA
"01.11.75.120","Семена гороха",NA
"01.11.79","Культуры зернобобовые (овощи бобовые сушеные), не включенные в другие группировки",NA
"01.11.79.110","Чина сушеная",NA
"01.11.79.111","Зерно чины",NA
"01.11.79.112","Семена чины",NA
"01.11.79.120","Маш сушеный",NA
"01.11.79.121","Зерно маша",NA
"01.11.79.122","Семена маша",NA
"01.11.79.190","Культуры зернобобовые (овощи бобовые сушеные) прочие, не включенные в другие группировки",NA
"01.11.79.191","Зерно прочих зернобобовых культур (овощей бобовых сушеных), не включенных в другие группировки",NA
"01.11.79.192","Семена прочих зернобобовых культур (овощей бобовых сушеных), не включенных в другие группировки",NA
"01.11.79.199","Зерноотходы прочих зернобобовых культур (овощей бобовых сушеных)",NA
"01.11.8","Бобы соевые, орехи земляные, семена хлопка",NA
"01.11.81","Бобы соевые",NA
"01.11.81.110","Бобы соевые для посева",NA
"01.11.81.120","Бобы соевые для переработки",NA
"01.11.82","Арахис (орех земляной) нелущеный",NA
"01.11.82.000","Арахис (орех земляной) нелущеный",NA
"01.11.83","Арахис (орех земляной) лущеный",NA
"01.11.83.000","Арахис (орех земляной) лущеный",NA
"01.11.84","Семена хлопчатника",NA
"01.11.84.000","Семена хлопчатника",NA
"01.11.9","Семена льна, горчицы, рапса, сурепицы, кунжута, подсолнечника и семена прочих масличных культур, не включенные в другие группировки",NA
"01.11.91","Семена льна",NA
"01.11.91.110","Семена льна для посева",NA
"01.11.91.111","Семена льна-кудряша для посева",NA
"01.11.91.112","Семена льна-долгунца для посева",NA
"01.11.91.120","Семена льна для переработки",NA
"01.11.92","Семена горчицы",NA
"01.11.92.110","Семена горчицы для посева",NA
"01.11.92.120","Семена горчицы для переработки",NA
"01.11.93","Семена рапса",NA
"01.11.93.110","Семена озимого рапса",NA
"01.11.93.111","Семена озимого рапса для посева",NA
"01.11.93.112","Семена озимого рапса для переработки",NA
"01.11.93.120","Семена ярового рапса (кользы)",NA
"01.11.93.121","Семена ярового рапса (кользы) для посева",NA
"01.11.93.122","Семена ярового рапса (кользы) для переработки",NA
"01.11.94","Семена кунжута",NA
"01.11.94.110","Семена кунжута для посева",NA
"01.11.94.120","Семена кунжута для переработки",NA
"01.11.95","Семена подсолнечника",NA
"01.11.95.110","Семена подсолнечника для посева",NA
"01.11.95.120","Семена подсолнечника для переработки",NA
"01.11.99","Семена прочих масличных культур, не включенные в другие группировки",NA
"01.11.99.110","Семена клещевины",NA
"01.11.99.120","Семена масличного мака",NA
"01.11.99.130","Семена южной конопли",NA
"01.11.99.140","Семена среднерусской конопли",NA
"01.11.99.150","Семена рыжика",NA
"01.11.99.160","Семена сафлора",NA
"01.11.99.190","Семена прочих масличных культур, не включенные в другие группировки",NA
"01.12","Рис нешелушеный",NA
"01.12.1","Рис нешелушеный",NA
"01.12.10","Рис нешелушеный",NA
"01.12.10.110","Зерно нешелушеного риса",NA
"01.12.10.120","Семена нешелушеного риса",NA
"01.13","Овощи и культуры бахчевые, корнеплоды и клубнеплоды",NA
"01.13.1","Культуры овощные салатные или зеленые",NA
"01.13.11","Спаржа",NA
"01.13.11.000","Спаржа",NA
"01.13.12","Капуста",NA
"01.13.12.110","Капуста брюссельская",NA
"01.13.12.120","Капуста белокочанная",NA
"01.13.12.130","Капуста краснокочанная",NA
"01.13.12.140","Капуста савойская",NA
"01.13.12.150","Капуста пекинская",NA
"01.13.12.160","Кольраби",NA
"01.13.12.190","Капуста прочая",NA
"01.13.13","Капуста цветная и брокколи",NA
"01.13.13.000","Капуста цветная и брокколи",NA
"01.13.14","Салат-латук",NA
"01.13.14.000","Салат-латук",NA
"01.13.15","Салат цикорный (витлуф)",NA
"01.13.15.000","Салат цикорный (витлуф)",NA
"01.13.16","Шпинат",NA
"01.13.16.000","Шпинат",NA
"01.13.17","Артишоки",NA
"01.13.17.000","Артишоки",NA
"01.13.19","Овощи листовые или стебельные прочие",NA
"01.13.19.000","Овощи листовые или стебельные прочие",NA
"01.13.2","Культуры бахчевые",NA
"01.13.21","Арбузы",NA
"01.13.21.000","Арбузы",NA
"01.13.29","Культуры бахчевые прочие",NA
"01.13.29.000","Культуры бахчевые прочие",NA
"01.13.3","Культуры овощные плодовые прочие",NA
"01.13.31","Перец стручковый и горошковый черный, не сушеный",NA
"01.13.31.000","Перец стручковый и горошковый черный, не сушеный",NA
"01.13.32","Огурцы",NA
"01.13.32.000","Огурцы",NA
"01.13.33","Баклажаны",NA
"01.13.33.000","Баклажаны",NA
"01.13.34","Томаты (помидоры)",NA
"01.13.34.000","Томаты (помидоры)",NA
"01.13.39","Культуры овощные плодовые прочие, не включенные в другие группировки","Эта группировка включает:- выращивание кабачков;- выращивание сахарной кукурузы;- выращивание обыкновенных и крупноплодных тыкв;- выращивание прочих плодовых овощей, не включенных в другие группировки"
"01.13.39.110","Кабачки",NA
"01.13.39.120","Кукуруза сахарная",NA
"01.13.39.130","Тыквы",NA
"01.13.39.140","Патиссоны",NA
"01.13.39.190","Культуры овощные плодовые прочие, не включенные в другие группировки",NA
"01.13.4","Корнеплоды и клубнеплоды овощные, культуры овощные луковичные",NA
"01.13.41","Морковь, репа, брюква",NA
"01.13.41.110","Морковь столовая",NA
"01.13.41.120","Репа",NA
"01.13.41.130","Брюква",NA
"01.13.42","Чеснок",NA
"01.13.42.000","Чеснок",NA
"01.13.43","Культуры овощные луковичные","Эта группировка включает:- выращивание лука и лука-шалота"
"01.13.43.110","Лук репчатый",NA
"01.13.43.120","Лук-шалот",NA
"01.13.43.190","Культуры овощные луковичные прочие",NA
"01.13.44","Лук-порей и прочие культуры овощные луковичные",NA
"01.13.44.000","Лук-порей и прочие культуры овощные луковичные",NA
"01.13.49","Корнеплоды и клубнеплоды овощные, культуры овощные луковичные (без высокого содержания крахмала или инулина), прочие",NA
"01.13.49.110","Свекла столовая",NA
"01.13.49.120","Редька",NA
"01.13.49.130","Редис",NA
"01.13.49.190","Корнеплоды и клубнеплоды овощные, культуры овощные луковичные (без высокого содержания крахмала или инулина), прочие",NA
"01.13.5","Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина",NA
"01.13.51","Картофель",NA
"01.13.51.110","Картофель столовый ранний",NA
"01.13.51.120","Картофель столовый поздний",NA
"01.13.51.130","Семена картофеля",NA
"01.13.52","Батат (картофель сладкий)",NA
"01.13.52.000","Батат (картофель сладкий)",NA
"01.13.53","Маниок (кассава)",NA
"01.13.53.000","Маниок (кассава)",NA
"01.13.59","Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина, прочие",NA
"01.13.59.000","Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина, прочие",NA
"01.13.6","Семена овощных культур, кроме семян сахарной свеклы",NA
"01.13.60","Семена овощных культур, кроме семян сахарной свеклы",NA
"01.13.60.110","Семена столовой свеклы, кроме семян сахарной свеклы",NA
"01.13.60.120","Семена однолетних овощных культур, кроме свеклы",NA
"01.13.60.121","Лук-севок",NA
"01.13.60.129","Семена прочих однолетних овощных культур, кроме свеклы",NA
"01.13.60.130","Семена капусты всех видов",NA
"01.13.60.140","Семена корнеплодных овощных культур",NA
"01.13.60.150","Семена пасленовых овощных культур",NA
"01.13.60.160","Семена тыквенных овощных культур",NA
"01.13.60.170","Семена салатных овощных культур",NA
"01.13.60.180","Семена зеленых овощных культур",NA
"01.13.60.190","Семена бобовых овощных культур",NA
"01.13.60.210","Семена двухлетних овощных культур",NA
"01.13.60.220","Семена многолетних овощных культур",NA
"01.13.60.230","Семена бахчевых культур",NA
"01.13.60.240","Семенники овощных культур",NA
"01.13.60.250","Семенники бахчевых культур",NA
"01.13.60.260","Маточники овощных культур, кроме свеклы",NA
"01.13.7","Свекла сахарная и семена сахарной свеклы",NA
"01.13.71","Свекла сахарная",NA
"01.13.71.000","Свекла сахарная",NA
"01.13.72","Семена сахарной свеклы",NA
"01.13.72.110","Семена сахарной свеклы шлифованные",NA
"01.13.72.120","Семена сахарной свеклы дражированные",NA
"01.13.72.130","Семена сахарной свеклы инкрустированные",NA
"01.13.72.140","Семенники сахарной свеклы",NA
"01.13.72.150","Маточники сахарной свеклы",NA
"01.13.8","Грибы и трюфели",NA
"01.13.80","Грибы и трюфели",NA
"01.13.80.000","Грибы и трюфели",NA
"01.13.9","Овощи свежие, не включенные в другие группировки",NA
"01.13.90","Овощи свежие, не включенные в другие группировки",NA
"01.13.90.000","Овощи свежие, не включенные в другие группировки",NA
"01.14","Тростник сахарный",NA
"01.14.1","Тростник сахарный",NA
"01.14.10","Тростник сахарный",NA
"01.14.10.000","Тростник сахарный",NA
"01.15","Табак необработанный",NA
"01.15.1","Табак необработанный",NA
"01.15.10","Табак необработанный",NA
"01.15.10.110","Табак ферментированный с неотделенной средней жилкой",NA
"01.15.10.120","Табак ферментированный с частично или полностью отделенной средней жилкой",NA
"01.15.10.130","Табак соусированный и ароматизированный",NA
"01.15.10.140","Махорка-сырье неферментированное",NA
"01.16","Культуры волокнистые прядильные",NA
"01.16.1","Культуры волокнистые прядильные",NA
"01.16.11","Хлопок-сырец очищенный или не очищенный от семян",NA
"01.16.11.110","Хлопок-сырец тонковолокнистых сортов хлопчатника",NA
"01.16.11.120","Хлопок-сырец средневолокнистых сортов хлопчатника",NA
"01.16.12","Волокна джута, кенафа и прочих текстильных лубяных волокон необработанные или моченые, кроме льна, конопли обыкновенной и рами",NA
"01.16.12.110","Волокна джута необработанные",NA
"01.16.12.120","Волокна кенафа необработанные",NA
"01.16.12.130","Волокна канатника необработанные",NA
"01.16.12.190","Волокна текстильные лубяные необработанные или моченые прочие, кроме льна, конопли обыкновенной и рами",NA
"01.16.19","Лен, конопля обыкновенная и необработанные растительные текстильные волокна, не включенные в другие группировки",NA
"01.16.19.110","Волокна льна необработанные",NA
"01.16.19.111","Волокно льна-долгунца",NA
"01.16.19.112","Соломка льна-долгунца",NA
"01.16.19.119","Волокно и соломка прочего льна",NA
"01.16.19.120","Волокно обыкновенной конопли необработанное",NA
"01.16.19.121","Волокно среднерусской конопли",NA
"01.16.19.122","Соломка среднерусской конопли",NA
"01.16.19.123","Волокно южной конопли",NA
"01.16.19.124","Соломка южной конопли",NA
"01.16.19.129","Волокно и соломка прочей конопли",NA
"01.16.19.130","Волокно пеньки необработанное",NA
"01.16.19.131","Волокно обыкновенной пеньки",NA
"01.16.19.132","Соломка обыкновенной пеньки",NA
"01.16.19.140","Волокно сизаля необработанное",NA
"01.16.19.150","Волокно кокосовое необработанное",NA
"01.16.19.160","Волокно абаки (манильской пеньки) необработанное",NA
"01.16.19.170","Волокно рами (китайской крапивы) необработанное",NA
"01.16.19.190","Волокна растительные текстильные необработанные прочие",NA
"01.19","Культуры однолетние прочие",NA
"01.19.1","Культуры кормовые",NA
"01.19.10","Культуры кормовые","Эта группировка включает:- брюкву, кормовую свеклу, кормовые корнеплоды, клевер, люцерну, эспарцет, кормовую кукурузу и прочие травы, кормовую капусту и подобные кормовые продуктыЭта группировка не включает:- гранулы и муку кормовых культур, см. 10.91"
"01.19.10.110","Культуры кормовые корнеплодные",NA
"01.19.10.120","Культуры бахчевые кормовые",NA
"01.19.10.130","Культуры кормовые зернобобовые",NA
"01.19.10.190","Культуры кормовые, не включенные в другие группировки",NA
"01.19.2","Цветы срезанные и бутоны цветочные; семена цветочных культур",NA
"01.19.21","Цветы срезанные и бутоны цветочные",NA
"01.19.21.110","Розы срезанные",NA
"01.19.21.120","Гвоздики срезанные",NA
"01.19.21.130","Орхидеи срезанные",NA
"01.19.21.140","Гладиолусы срезанные",NA
"01.19.21.150","Хризантемы срезанные",NA
"01.19.21.190","Цветы срезанные прочие",NA
"01.19.22","Семена цветочных культур",NA
"01.19.22.110","Семена однолетних цветочных культур",NA
"01.19.22.120","Семена двухлетних цветочных культур",NA
"01.19.22.130","Семена многолетних цветочных культур",NA
"01.19.3","Семена свеклы, семена кормовых культур; сырье растительное прочее",NA
"01.19.31","Семена кормовой свеклы (кроме семян сахарной свеклы) и семена кормовых растений",NA
"01.19.31.110","Семена кормовой свеклы",NA
"01.19.31.120","Семена кормовых корнеплодов, кроме кормовой свеклы",NA
"01.19.31.130","Семенники кормовых корнеплодов",NA
"01.19.31.140","Маточники кормовых корнеплодов",NA
"01.19.31.150","Семена однолетних трав",NA
"01.19.31.160","Семена многолетних трав",NA
"01.19.31.161","Семена клевера",NA
"01.19.31.162","Семена люцерны",NA
"01.19.31.163","Семена эспарцета",NA
"01.19.31.164","Семена луговых пастбищных трав",NA
"01.19.31.165","Семена злаковых трав",NA
"01.19.31.169","Семена прочих многолетних трав",NA
"01.19.31.190","Семена прочих кормовых культур",NA
"01.19.39","Сырье растительное, не включенное в другие группировки",NA
"01.19.39.000","Сырье растительное, не включенное в другие группировки",NA
"01.2","Культуры многолетние",NA
"01.21","Виноград",NA
"01.21.1","Виноград",NA
"01.21.11","Виноград свежий столовых сортов",NA
"01.21.11.000","Виноград свежий столовых сортов",NA
"01.21.12","Виноград свежий прочих сортов",NA
"01.21.12.110","Виноград свежий кишмишных сортов",NA
"01.21.12.120","Виноград свежий прочих сортов, не включенный в другие группировки",NA
"01.22","Фрукты тропические и субтропические",NA
"01.22.1","Фрукты тропические и субтропические",NA
"01.22.11","Авокадо",NA
"01.22.11.000","Авокадо",NA
"01.22.12","Бананы",NA
"01.22.12.000","Бананы",NA
"01.22.13","Финики",NA
"01.22.13.000","Финики",NA
"01.22.14","Инжир",NA
"01.22.14.000","Инжир",NA
"01.22.19","Плоды тропических и субтропических культур прочие",NA
"01.22.19.000","Плоды тропических и субтропических культур прочие",NA
"01.23","Плоды цитрусовых культур",NA
"01.23.1","Плоды цитрусовых культур",NA
"01.23.11","Грейпфруты",NA
"01.23.11.000","Грейпфруты",NA
"01.23.12","Лимоны и лаймы",NA
"01.23.12.000","Лимоны и лаймы",NA
"01.23.13","Апельсины",NA
"01.23.13.000","Апельсины",NA
"01.23.14","Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур",NA
"01.23.14.000","Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур",NA
"01.23.19","Плоды цитрусовых культур прочие",NA
"01.23.19.000","Плоды цитрусовых культур прочие",NA
"01.24","Плоды семечковых и косточковых культур",NA
"01.24.1","Яблоки",NA
"01.24.10","Яблоки",NA
"01.24.10.000","Яблоки",NA
"01.24.2","Плоды семечковых и косточковых культур прочие",NA
"01.24.21","Груши",NA
"01.24.21.000","Груши",NA
"01.24.22","Айва",NA
"01.24.22.000","Айва",NA
"01.24.23","Абрикосы",NA
"01.24.23.000","Абрикосы",NA
"01.24.24","Вишня",NA
"01.24.24.000","Вишня",NA
"01.24.25","Персики",NA
"01.24.25.000","Персики",NA
"01.24.26","Нектарины",NA
"01.24.26.000","Нектарины",NA
"01.24.27","Сливы",NA
"01.24.27.000","Сливы",NA
"01.24.28","Терн",NA
"01.24.28.000","Терн",NA
"01.24.29","Плоды семечковых и косточковых культур прочие, не включенные в другие группировки",NA
"01.24.29.110","Черешня",NA
"01.24.29.120","Алыча (ткемали, вишнеслива)",NA
"01.24.29.130","Барбарис",NA
"01.24.29.140","Кизил",NA
"01.25","Плоды прочих плодовых деревьев, кустарников и орехов",NA
"01.25.1","Ягоды и плоды растений вида Vaccinium",NA
"01.25.11","Киви",NA
"01.25.11.000","Киви",NA
"01.25.12","Малина",NA
"01.25.12.000","Малина",NA
"01.25.13","Земляника (клубника)",NA
"01.25.13.000","Земляника (клубника)",NA
"01.25.19","Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки","Эта группировка включает:- клюкву, чернику всех видов, бруснику, голубику, смородину и крыжовник"
"01.25.19.110","Смородина черная",NA
"01.25.19.120","Смородина красная",NA
"01.25.19.130","Смородина белая",NA
"01.25.19.140","Крыжовник",NA
"01.25.19.150","Клюква",NA
"01.25.19.160","Брусника",NA
"01.25.19.170","Черника",NA
"01.25.19.180","Голубика",NA
"01.25.19.190","Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки",NA
"01.25.2","Семена плодовых культур",NA
"01.25.20","Семена плодовых культур",NA
"01.25.20.110","Семена плодовых семечковых культур",NA
"01.25.20.120","Семена плодовых косточковых культур",NA
"01.25.20.130","Семена ягодных культур",NA
"01.25.3","Орехи, кроме лесных съедобных орехов, земляных орехов и кокосовых орехов",NA
"01.25.31","Миндаль",NA
"01.25.31.000","Миндаль",NA
"01.25.32","Каштаны",NA
"01.25.32.000","Каштаны",NA
"01.25.33","Фундук",NA
"01.25.33.000","Фундук",NA
"01.25.34","Фисташки",NA
"01.25.34.000","Фисташки",NA
"01.25.35","Орехи грецкие",NA
"01.25.35.000","Орехи грецкие",NA
"01.25.39","Орехи прочие, не включенные в другие группировки",NA
"01.25.39.000","Орехи прочие, не включенные в другие группировки",NA
"01.25.9","Плоды деревьев и кустарников прочие, не включенные в другие группировки",NA
"01.25.90","Плоды деревьев и кустарников прочие, не включенные в другие группировки",NA
"01.25.90.110","Хурма",NA
"01.25.90.120","Гранат",NA
"01.25.90.130","Фейхоа",NA
"01.25.90.140","Мушмула",NA
"01.26","Плоды масличных культур",NA
"01.26.1","Оливки (маслины)",NA
"01.26.11","Оливки столовые",NA
"01.26.11.000","Оливки столовые",NA
"01.26.12","Оливки для производства оливкового масла",NA
"01.26.12.000","Оливки для производства оливкового масла",NA
"01.26.2","Орехи кокосовые",NA
"01.26.20","Орехи кокосовые",NA
"01.26.20.000","Орехи кокосовые",NA
"01.26.9","Плоды масличных культур прочие",NA
"01.26.90","Плоды масличных культур прочие",NA
"01.26.90.000","Плоды масличных культур прочие",NA
"01.27","Культуры для производства напитков",NA
"01.27.1","Культуры для производства напитков",NA
"01.27.11","Зерна кофейные необжаренные",NA
"01.27.11.000","Зерна кофейные необжаренные",NA
"01.27.12","Листья чая",NA
"01.27.12.110","Лист зеленого чая сортовой",NA
"01.27.12.120","Лист зеленого чая грубый",NA
"01.27.12.130","Лист черного чая сортовой",NA
"01.27.12.140","Лист черного чая грубый",NA
"01.27.13","Листья мате",NA
"01.27.13.000","Листья мате",NA
"01.27.14","Какао-бобы",NA
"01.27.14.000","Какао-бобы",NA
"01.27.19","Культуры для производства напитков прочие",NA
"01.27.19.110","Цикорий",NA
"01.27.19.190","Культуры для производства напитков прочие, не включенные в другие группировки",NA
"01.28","Пряности и растения, используемые в парфюмерии и фармации",NA
"01.28.1","Пряности необработанные",NA
"01.28.11","Перец необработанный",NA
"01.28.11.000","Перец необработанный",NA
"01.28.12","Перец красный и стручковый, сухой, необработанный",NA
"01.28.12.000","Перец красный и стручковый, сухой, необработанный",NA
"01.28.13","Орех мускатный, мацис и кардамон необработанные",NA
"01.28.13.110","Орех мускатный необработанный",NA
"01.28.13.120","Мацис необработанный",NA
"01.28.13.130","Кардамон необработанный",NA
"01.28.14","Анис, бадьян, кориандр, тмин душистый и обыкновенный, фенхель и можжевеловые ягоды, необработанные",NA
"01.28.14.110","Анис необработанный",NA
"01.28.14.120","Бадьян необработанный",NA
"01.28.14.130","Кориандр необработанный",NA
"01.28.14.140","Тмин необработанный",NA
"01.28.14.150","Фенхель необработанный",NA
"01.28.14.160","Ягоды можжевеловые необработанные",NA
"01.28.15","Корица необработанная",NA
"01.28.15.000","Корица необработанная",NA
"01.28.16","Гвоздика (стебли) необработанная",NA
"01.28.16.000","Гвоздика (стебли) необработанная",NA
"01.28.17","Имбирь сухой необработанный",NA
"01.28.17.000","Имбирь сухой необработанный",NA
"01.28.18","Ваниль необработанная",NA
"01.28.18.000","Ваниль необработанная",NA
"01.28.19","Пряности необработанные прочие",NA
"01.28.19.000","Пряности необработанные прочие",NA
"01.28.2","Шишки хмеля",NA
"01.28.20","Шишки хмеля",NA
"01.28.20.000","Шишки хмеля",NA
"01.28.3","Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",NA
"01.28.30","Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",NA
"01.28.30.110","Культуры эфиромасличные",NA
"01.28.30.120","Культуры лекарственные",NA
"01.28.30.190","Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей, прочие",NA
"01.29","Культуры многолетние прочие",NA
"01.29.1","Каучук натуральный",NA
"01.29.10","Каучук натуральный",NA
"01.29.10.000","Каучук натуральный",NA
"01.29.2","Деревья рождественские (новогодние)",NA
"01.29.20","Деревья рождественские (новогодние)",NA
"01.29.20.000","Деревья рождественские (новогодние)",NA
"01.29.3","Материалы растительные, используемые главным образом для плетения, а также набивки, крашения или дубления",NA
"01.29.30","Материалы растительные, используемые главным образом для плетения, а также набивки, крашения или дубления",NA
"01.29.30.110","Материалы растительные, используемые главным образом для плетения",NA
"01.29.30.120","Материалы растительные, используемые главным образом для набивки (например, капок, растительные волокна, морской взморник), в том числе в виде полотнищ на подложке из других материалов или без нее",NA
"01.29.30.130","Материалы растительного происхождения, используемые главным образом для производства щеточных изделий и метел",NA
"01.29.30.190","Материалы растительного происхождения, не включенные в другие группировки",NA
"01.3","Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы",NA
"01.30","Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы",NA
"01.30.1","Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы",NA
"01.30.10","Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы",NA
