"code","description","comment"
"42.91.20.140","Работы дноуглубительные, работы по удалению скальных пород и илистых отложений и прочие строительные гидротехнические работы",NA
"42.91.20.150","Работы подводные (проводимые водолазами, аквалангистами или с использованием прочих технологий) и различные гидротехнические работы",NA
"42.91.20.190","Работы строительные и ремонтные, связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений",NA
"42.99","Сооружения и строительные работы по строительству прочих гражданских сооружений, не включенных в другие группировки",NA
"42.99.1","Сооружения гражданские прочие",NA
"42.99.11","Сооружения для горнодобывающей и обрабатывающей промышленности","Эта группировка включает:- сооружения для горнодобывающей промышленности и связанные сооружения, такие как станции погрузки и разгрузки, главные шахтные стволы и шахтные коперы, тоннели и горизонтальные выработки, связанные с горными работами;- сооружения для обрабатывающей промышленности для производства основных химических веществ, соединений, фармацевтических препаратов и прочих химических продуктов;- объекты для химического производства и связанные объекты для обрабатывающей промышленности, такие как доменные печи и коксовые печи;- специализированные объекты для обрабатывающей промышленности, не включенные в другие группировки, например чугунолитейные цехаЭта группировка не включает:- промышленные здания и сооружения, неспециализированные для производства определенных продуктов, см. 41.20.20"
"42.99.11.110","Сооружения для горнодобывающей промышленности и связанные сооружения",NA
"42.99.11.111","Станции погрузки и разгрузки",NA
"42.99.11.112","Стволы шахтные главные и шахтные коперы",NA
"42.99.11.113","Тоннели и горизонтальные выработки, связанные с горными работами",NA
"42.99.11.119","Сооружения для горнодобывающей промышленности и связанные сооружения прочие, не включенные в другие группировки",NA
"42.99.11.120","Сооружения для производства основных химических веществ, соединений, фармацевтических препаратов и прочих химических продуктов",NA
"42.99.11.130","Печи доменные и коксовые печи",NA
"42.99.11.190","Объекты специализированные для обрабатывающей промышленности, не включенные в другие группировки",NA
"42.99.11.191","Цеха чугунолитейные",NA
"42.99.11.199","Объекты специализированные для обрабатывающей промышленности прочие, не включенные в другие группировки",NA
"42.99.12","Сооружения для занятий спортом и отдыха","Эта группировка включает:- спортивные площадки для спортивных игр, главным образом, на открытом воздухе, такие как футбол, бейсбол, регби, легкая атлетика, автомобильные или велосипедные гонки и скачки;- объекты для отдыха, например площадки для игры в гольф, пляжные сооружения, горные убежища, парковые территории и парковые сооружения для отдыхаЭта группировка не включает:- закрытые спортивные объекты и помещения для зрителей, см. 41.20.20"
"42.99.12.110","Площадки спортивные для спортивных игр на открытом воздухе",NA
"42.99.12.120","Объекты и сооружения для отдыха",NA
"42.99.12.121","Площадки для игры в гольф",NA
"42.99.12.122","Сооружения пляжные",NA
"42.99.12.123","Убежища горные",NA
"42.99.12.124","Территории парковые и парки для отдыха",NA
"42.99.19","Сооружения гражданские прочие, не включенные в другие группировки","Эта группировка включает:- разделенную землю (земельные участки), включая подготовленный доступ к дорогам, коммуникациям и/или аналогичное предварительное благоустройство территории;- прочие гражданские сооружения, не включенные в другие группировки"
"42.99.19.000","Сооружения гражданские прочие, не включенные в другие группировки",NA
"42.99.2","Работы строительные по строительству прочих гражданских сооружений",NA
"42.99.21","Работы строительные по строительству сооружений для горнодобывающей и обрабатывающей промышленности","Эта группировка включает:- строительные и ремонтные работы, связанные с горнодобывающей промышленностью, например строительство и ремонт станций погрузки и разгрузки, главных шахтных стволов, чугунолитейных цехов, доменных и коксовых печей;- строительные и ремонтные работы, связанные с объектами химической промышленности и связанными объектами;- строительные и ремонтные работы, связанные с прочими объектами обрабатывающей промышленностиЭта группировка не включает:- строительные работы по возведению складов и производственных зданий, см. 41.20.40"
"42.99.21.110","Работы строительные и ремонтные, связанные с горнодобывающей промышленностью",NA
"42.99.21.111","Строительство и ремонт станций погрузки и разгрузки",NA
"42.99.21.112","Строительство и ремонт главных шахтных стволов",NA
"42.99.21.113","Строительство и ремонт чугунолитейных цехов",NA
"42.99.21.114","Строительство и ремонт доменных печей и коксовых печей",NA
"42.99.21.119","Работы строительные и ремонтные, связанные с горнодобывающей промышленностью прочие, не включенные в другие группировки",NA
"42.99.21.120","Работы строительные по строительству сооружений для обрабатывающей промышленности",NA
"42.99.21.121","Работы строительные по строительству новых сооружений для обрабатывающей промышленности",NA
"42.99.21.122","Работы строительные по ремонту сооружений для обрабатывающей промышленности",NA
"42.99.22","Работы строительные по строительству открытых стадионов и спортивных площадок","Эта группировка включает:- строительные работы по строительству конструкций и плоскостных сооружений стадионов и прочих площадок для спортивных игр на открытом воздухе, таких как футбол, бейсбол, регби, легкая атлетика, автомобильные гонки, велосипедные гонки и скачки;- строительные работы по строительству объектов для отдыха, например площадок для игры в гольф, пляжных сооружений, горных убежищ, парковых территорий и парковых сооружений для отдыхаЭта группировка не включает:- работы по подготовке строительного участка и предварительные земляные работы, см. 43.12.1"
